"ECR","Player","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"127","Andre Williams LAC","19.312","18.116","18.315","16.720","15.725","19.611","19.312","14.830","BYE","17.019","21.73","14.332","23.72","21.05","18.315","18.613","19.611"
"128","Lorenzo Taliaferro BAL","18.314","23.72","17.019","20.57","19.611","16.123","15.526","18.116","14.829","BYE","16.421","17.518","15.824","20.57","23.72","20.86","18.314"
"129","Daniel Lasco NO","15.526","14.830","16.222","18.116","BYE","15.824","16.421","16.123","19.99","21.73","21.05","17.817","16.222","19.710","18.613","19.710","19.99"
"130","Travaris Cadet NO","15.526","14.830","16.222","18.116","BYE","15.824","16.421","16.123","19.99","21.73","21.05","17.817","16.222","19.710","18.613","19.710","19.99"
"131","John Kuhn NO","15.526","14.830","16.222","18.116","BYE","15.824","16.421","16.123","19.99","21.73","21.05","17.817","16.222","19.710","18.613","19.710","19.99"
"132","Bobby Rainey BAL","18.314","23.72","17.019","20.57","19.611","16.123","15.526","18.116","14.829","BYE","16.421","17.518","15.824","20.57","23.72","20.86","18.314"
"133","Terron Ward ATL","16.123","16.421","15.824","21.73","BYE","18.116","14.830","18.613","16.222","14.332","14.631","19.99","15.526","21.74","19.99","21.74","16.222"
"134","Matt Asiata DET","14.928","15.725","19.710","15.526","16.222","21.74","BYE","20.57","16.421","23.72","16.123","15.526","15.027","19.99","16.123","18.314","16.421"
"135","Alex Collins SEA","16.421","28.11","14.829","20.86","17.817","BYE","15.725","17.518","21.05","14.928","19.710","28.11","16.720","17.019","17.817","14.332","14.928"
"136","C.J. Spiller KC","14.830","16.720","20.28","21.05","17.518","20.57","19.611","19.312","14.332","BYE","15.725","21.73","18.613","19.611","20.28","18.116","19.312"
"137","Kapri Bibbs SF","16.222","14.631","17.817","14.928","20.86","21.05","14.332","16.720","14.928","15.725","BYE","14.631","16.123","17.518","14.829","17.019","17.817"
"138","De'Anthony Thomas KC","14.830","16.720","20.28","21.05","17.518","20.57","19.611","19.312","14.332","BYE","15.725","21.73","18.613","19.611","20.28","18.116","19.312"
"139","Tyler Ervin HOU","17.019","18.314","14.830","14.829","18.315","23.72","BYE","14.631","20.86","17.817","14.928","15.027","14.829","28.11","17.019","20.57","20.86"
"140","Jamize Olawale OAK","14.829","18.613","21.05","19.312","15.027","20.28","18.315","21.73","18.116","BYE","14.830","19.312","15.725","18.315","14.332","16.720","20.28"
